user;method;session;n_from;n_to;rowcnt;type_of_action;sumdist;elpstime;direction;straight;avg_velo;min_ang;max_ang;avg_ang;min_vel;max_vel;avg_vel
user12;train;session_2144641057.csv;2;83;82;0;2596.5371811658542;9.32899999997;4;0.19803236749971004;278.3296367428668;-3.0461389392570792;3.141592653589793;-0.0376714253897927;2.3889615144738987;1478.2034470668273;308.62687366512574
user12;train;session_2144641057.csv;84;97;14;3;179.26021229546785;1.9190000000000005;3;0.9596449686094025;93.41334668862314;-1.5707963267948966;3.141592653589793;-0.5424498677478404;6.756756756756771;431.19266055045875;120.60460945352382
user12;train;session_2144641057.csv;98;118;21;0;887.9034984803709;2.1370000000000005;0;0.9795397171734713;415.4906403745301;1.5707963267948966;3.141592653589793;2.1114554885029677;8.270254750719884;2604.244429723003;420.5009893051945
user12;train;session_2144641057.csv;119;125;7;3;75.0356688476182;1.3580000000000005;0;0.9996134841247248;55.25454259765697;3.070285188804503;3.141592653589793;2.233807971880525;1.3351134846461938;357.7981651376147;99.79369875747398
user12;train;session_2144641057.csv;126;154;29;1;1111.6587854458319;3.7600000000000016;5;0.9510232203950352;295.6539322994233;-0.20232162837830375;2.5088438185876103;0.37161871085580667;0.0;1891.3328557878872;358.11975940708413
user12;train;session_2144641057.csv;155;173;19;1;834.0304618027485;1.7000000000000028;1;0.11669758153336436;490.60615400161595;-3.119208333250503;3.141592653589793;0.4254754778487182;16.0;1497.5220112103516;463.1890106780949
user12;train;session_2144641057.csv;174;220;47;1;2272.4726231481836;6.193000000000001;0;0.14648355047990608;366.94213194706657;-3.1152829363368713;3.141592653589793;0.41662934608187746;0.0;3303.3765974683047;481.73617650375536
user12;train;session_2144641057.csv;221;234;14;0;839.7999936046708;13.338000000000005;4;0.4445618107527987;0.6296296248348108;-2.9441970937399127;3.141592653589793;1.0675488022848796;0.10078613182826039;2561.276641739171;626.7744495215044
user12;train;session_2144641057.csv;235;245;11;1;477.7484373562934;1.2319999999999993;2;0.4943606250108681;387.7828225294591;-2.5185934036850703;1.3258176636680326;-0.3233677460964588;54.97474167490214;2327.0945568835127;421.29587577988434
user12;train;session_2144641057.csv;246;262;17;1;244.84359696885423;2.3870000000000005;5;0.4942605373185246;102.57377334262848;-1.8438050298816073;2.323947607757091;-0.007084256746153532;1.7559262510974494;505.9198414297987;160.45722211978878
